time,Var0_sys0,Var1_sys0,Var2_sys0,Var3_sys0,Var4_sys0,Var0_sys1,Var1_sys1,Var2_sys1,Var3_sys1,Var4_sys1,Var0_sys2,Var1_sys2,Var2_sys2,Var3_sys2,Var4_sys2,Var0_sys3,Var1_sys3,Var2_sys3,Var3_sys3,Var4_sys3
0.0489951,1.0242,1.01947,1.00504,0.995433,1.01465,1.0242,1.01947,1.00504,0.995433,1.01465,1.0242,1.01947,1.00504,0.995433,1.01465,1.0242,1.01947,1.00504,0.995433,1.01465
0.0494951,1.02444,1.01966,1.0051,0.99539,1.0148,1.02444,1.01966,1.0051,0.99539,1.0148,1.02444,1.01966,1.0051,0.99539,1.0148,1.02444,1.01966,1.0051,0.99539,1.0148
0.049995,1.02469,1.01986,1.00515,0.995347,1.01495,1.02469,1.01986,1.00515,0.995347,1.01495,1.02469,1.01986,1.00515,0.995347,1.01495,1.02469,1.01986,1.00515,0.995347,1.01495
0.050495,1.02493,1.02006,1.0052,0.995304,1.0151,1.02493,1.02006,1.0052,0.995304,1.0151,1.02493,1.02006,1.0052,0.995304,1.0151,1.02493,1.02006,1.0052,0.995304,1.0151
0.0509949,1.02518,1.02025,1.00525,0.995261,1.01525,1.02518,1.02025,1.00525,0.995261,1.01525,1.02518,1.02025,1.00525,0.995261,1.01525,1.02518,1.02025,1.00525,0.995261,1.01525
0.0514949,1.02542,1.02045,1.00531,0.995218,1.0154,1.02542,1.02045,1.00531,0.995218,1.0154,1.02542,1.02045,1.00531,0.995218,1.0154,1.02542,1.02045,1.00531,0.995218,1.0154
0.0519948,1.02566,1.02065,1.00536,0.995175,1.01555,1.02566,1.02065,1.00536,0.995175,1.01555,1.02566,1.02065,1.00536,0.995175,1.01555,1.02566,1.02065,1.00536,0.995175,1.01555
0.0524948,1.02591,1.02085,1.00541,0.995132,1.0157,1.02591,1.02085,1.00541,0.995132,1.0157,1.02591,1.02085,1.00541,0.995132,1.0157,1.02591,1.02085,1.00541,0.995132,1.0157
0.0529947,1.02615,1.02104,1.00547,0.995089,1.01585,1.02615,1.02104,1.00547,0.995089,1.01585,1.02615,1.02104,1.00547,0.995089,1.01585,1.02615,1.02104,1.00547,0.995089,1.01585
0.0534947,1.02639,1.02124,1.00552,0.995047,1.01599,1.02639,1.02124,1.00552,0.995047,1.01599,1.02639,1.02124,1.00552,0.995047,1.01599,1.02639,1.02124,1.00552,0.995047,1.01599
0.0539946,1.02664,1.02144,1.00557,0.995004,1.01614,1.02664,1.02144,1.00557,0.995004,1.01614,1.02664,1.02144,1.00557,0.995004,1.01614,1.02664,1.02144,1.00557,0.995004,1.01614
0.0544946,1.02688,1.02163,1.00563,0.994962,1.01629,1.02688,1.02163,1.00563,0.994962,1.01629,1.02688,1.02163,1.00563,0.994962,1.01629,1.02688,1.02163,1.00563,0.994962,1.01629
0.0549945,1.02712,1.02183,1.00568,0.994919,1.01644,1.02712,1.02183,1.00568,0.994919,1.01644,1.02712,1.02183,1.00568,0.994919,1.01644,1.02712,1.02183,1.00568,0.994919,1.01644
