stream,next_stream,drainage_area_km2,length_km,area_sqkm,centroid_lon,centroid_lat,hu,i2,i3,sw,ss,n,slope,res_ss,res_gw,melt,t_thres
420544167,420544739,0.6439999999999999,0.326,0.086,-74.76714744,40.37003205128205,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420543348,420544740,0.321,0.609,0.321,-74.76111395,40.37157313,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420543152,420544740,0.138,0.302,0.138,-74.76430556,40.37271825396825,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420542741,420544167,0.21,0.371,0.21,-74.76757813,40.374375,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420548064,420548065,94.14199999999995,0.188,0.112,-74.71629902,40.35208333333333,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420547031,420548064,1.67,1.104,0.479,-74.7244121,40.35519977,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420547871,420547649,95.82499999999996,0.188,0.046,-74.70863095,40.35482142857144,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420547872,420547873,98.87299999999996,0.117,0.033,-74.70358333,40.35525,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420547235,420547871,0.125,0.35,0.125,-74.71142544,40.35703947,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420547234,420548065,0.829,0.467,0.132,-74.71652778,40.35717592592592,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420547649,420547650,95.99599999999997,0.329,0.105,-74.70630208,40.35552083333333,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420547650,420547872,98.73499999999996,0.117,0.02,-74.70375,40.35625000000001,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420547033,420547872,0.105,0.234,0.105,-74.70078125,40.35796875000001,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420547236,420547649,0.066,0.326,0.066,-74.70891667,40.35775,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420546827,420547031,0.112,0.606,0.112,-74.72438725,40.35825980392156,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
